,WAITCLASS,SAMPLE_TIME,DB_TIME
225,Concurrency,2016-08-18 21:16:00,0.0
226,Configuration,2016-08-18 21:16:00,0.0
227,Network,2016-08-18 21:16:00,0.003
228,Other,2016-08-18 21:16:00,0.015
229,System I/O,2016-08-18 21:16:00,0.002
230,User I/O,2016-08-18 21:16:00,0.0
231,Administrative,2016-08-18 21:17:00,0.0
232,Application,2016-08-18 21:17:00,0.0
233,CPU,2016-08-18 21:17:00,0.01
234,Cluster,2016-08-18 21:17:00,0.0
235,Commit,2016-08-18 21:17:00,0.0
236,Concurrency,2016-08-18 21:17:00,0.0
237,Configuration,2016-08-18 21:17:00,0.0
238,Network,2016-08-18 21:17:00,0.002
239,Other,2016-08-18 21:17:00,0.013
240,System I/O,2016-08-18 21:17:00,0.002
241,User I/O,2016-08-18 21:17:00,0.0
242,Administrative,2016-08-18 21:18:00,0.0
243,Application,2016-08-18 21:18:00,0.0
244,CPU,2016-08-18 21:18:00,0.005
245,Cluster,2016-08-18 21:18:00,0.0
246,Commit,2016-08-18 21:18:00,0.0
247,Concurrency,2016-08-18 21:18:00,0.0
248,Configuration,2016-08-18 21:18:00,0.0
249,Network,2016-08-18 21:18:00,0.003
250,Other,2016-08-18 21:18:00,0.014
251,System I/O,2016-08-18 21:18:00,0.003
252,User I/O,2016-08-18 21:18:00,0.0
253,Administrative,2016-08-18 21:19:00,0.0
254,Application,2016-08-18 21:19:00,0.0
255,CPU,2016-08-18 21:19:00,0.016
256,Cluster,2016-08-18 21:19:00,0.0
257,Commit,2016-08-18 21:19:00,0.0
258,Concurrency,2016-08-18 21:19:00,0.0
259,Configuration,2016-08-18 21:19:00,0.0
260,Network,2016-08-18 21:19:00,0.002
261,Other,2016-08-18 21:19:00,0.014
262,System I/O,2016-08-18 21:19:00,0.002
263,User I/O,2016-08-18 21:19:00,0.001
264,Administrative,2016-08-18 21:20:00,0.0
265,Application,2016-08-18 21:20:00,0.0
266,CPU,2016-08-18 21:20:00,0.183
267,Cluster,2016-08-18 21:20:00,0.0
268,Commit,2016-08-18 21:20:00,0.057
269,Concurrency,2016-08-18 21:20:00,0.0
270,Configuration,2016-08-18 21:20:00,0.0
271,Network,2016-08-18 21:20:00,0.002
272,Other,2016-08-18 21:20:00,0.088
273,System I/O,2016-08-18 21:20:00,0.01
274,User I/O,2016-08-18 21:20:00,0.674
275,Administrative,2016-08-18 21:21:00,0.0
276,Application,2016-08-18 21:21:00,0.0
277,CPU,2016-08-18 21:21:00,0.302
278,Cluster,2016-08-18 21:21:00,0.0
279,Commit,2016-08-18 21:21:00,0.0
280,Concurrency,2016-08-18 21:21:00,0.0
281,Configuration,2016-08-18 21:21:00,0.0
282,Network,2016-08-18 21:21:00,0.002
283,Other,2016-08-18 21:21:00,0.012
284,System I/O,2016-08-18 21:21:00,0.002
285,User I/O,2016-08-18 21:21:00,0.741
286,Administrative,2016-08-18 21:22:00,0.0
287,Application,2016-08-18 21:22:00,0.0
288,CPU,2016-08-18 21:22:00,0.387
289,Cluster,2016-08-18 21:22:00,0.0
290,Commit,2016-08-18 21:22:00,0.0
291,Concurrency,2016-08-18 21:22:00,0.0
292,Configuration,2016-08-18 21:22:00,0.0
293,Network,2016-08-18 21:22:00,0.002
294,Other,2016-08-18 21:22:00,0.016
295,System I/O,2016-08-18 21:22:00,0.003
296,User I/O,2016-08-18 21:22:00,0.664
297,Administrative,2016-08-18 21:23:00,0.0
298,Application,2016-08-18 21:23:00,0.0
299,CPU,2016-08-18 21:23:00,0.384
300,Cluster,2016-08-18 21:23:00,0.001
301,Commit,2016-08-18 21:23:00,0.0
302,Concurrency,2016-08-18 21:23:00,0.0
303,Configuration,2016-08-18 21:23:00,0.0
304,Network,2016-08-18 21:23:00,0.002
305,Other,2016-08-18 21:23:00,0.016
306,System I/O,2016-08-18 21:23:00,0.002
307,User I/O,2016-08-18 21:23:00,0.672
308,Administrative,2016-08-18 21:24:00,0.0
309,Application,2016-08-18 21:24:00,0.0
310,CPU,2016-08-18 21:24:00,0.44
311,Cluster,2016-08-18 21:24:00,0.0
312,Commit,2016-08-18 21:24:00,0.0
313,Concurrency,2016-08-18 21:24:00,0.0
314,Configuration,2016-08-18 21:24:00,0.0
315,Network,2016-08-18 21:24:00,0.002
316,Other,2016-08-18 21:24:00,0.015
317,System I/O,2016-08-18 21:24:00,0.003
318,User I/O,2016-08-18 21:24:00,0.614
319,Administrative,2016-08-18 21:25:00,0.0
320,Application,2016-08-18 21:25:00,0.0
321,CPU,2016-08-18 21:25:00,0.48
322,Cluster,2016-08-18 21:25:00,0.0
323,Commit,2016-08-18 21:25:00,0.0
324,Concurrency,2016-08-18 21:25:00,0.0
325,Configuration,2016-08-18 21:25:00,0.0
326,Network,2016-08-18 21:25:00,0.002
327,Other,2016-08-18 21:25:00,0.015
328,System I/O,2016-08-18 21:25:00,0.005
329,User I/O,2016-08-18 21:25:00,0.555
330,Administrative,2016-08-18 21:26:00,0.0
331,Application,2016-08-18 21:26:00,0.0
332,CPU,2016-08-18 21:26:00,0.502
333,Cluster,2016-08-18 21:26:00,0.0
334,Commit,2016-08-18 21:26:00,0.0
335,Concurrency,2016-08-18 21:26:00,0.0
336,Configuration,2016-08-18 21:26:00,0.0
337,Network,2016-08-18 21:26:00,0.002
338,Other,2016-08-18 21:26:00,0.015
339,System I/O,2016-08-18 21:26:00,0.002
340,User I/O,2016-08-18 21:26:00,0.545
341,Administrative,2016-08-18 21:27:00,0.0
342,Application,2016-08-18 21:27:00,0.0
343,CPU,2016-08-18 21:27:00,0.536
344,Cluster,2016-08-18 21:27:00,0.0
345,Commit,2016-08-18 21:27:00,0.0
346,Concurrency,2016-08-18 21:27:00,0.0
347,Configuration,2016-08-18 21:27:00,0.0
348,Network,2016-08-18 21:27:00,0.002
349,Other,2016-08-18 21:27:00,0.014
350,System I/O,2016-08-18 21:27:00,0.002
351,User I/O,2016-08-18 21:27:00,0.511
352,Administrative,2016-08-18 21:28:00,0.0
353,Application,2016-08-18 21:28:00,0.0
354,CPU,2016-08-18 21:28:00,0.569
355,Cluster,2016-08-18 21:28:00,0.0
356,Commit,2016-08-18 21:28:00,0.0
357,Concurrency,2016-08-18 21:28:00,0.0
358,Configuration,2016-08-18 21:28:00,0.0
359,Network,2016-08-18 21:28:00,0.002
360,Other,2016-08-18 21:28:00,0.015
361,System I/O,2016-08-18 21:28:00,0.004
362,User I/O,2016-08-18 21:28:00,0.472
363,Administrative,2016-08-18 21:29:00,0.0
364,Application,2016-08-18 21:29:00,0.0
365,CPU,2016-08-18 21:29:00,0.574
366,Cluster,2016-08-18 21:29:00,0.0
367,Commit,2016-08-18 21:29:00,0.0
368,Concurrency,2016-08-18 21:29:00,0.0
369,Configuration,2016-08-18 21:29:00,0.0
370,Network,2016-08-18 21:29:00,0.002
371,Other,2016-08-18 21:29:00,0.015
372,System I/O,2016-08-18 21:29:00,0.002
373,User I/O,2016-08-18 21:29:00,0.463
374,Administrative,2016-08-18 21:30:00,0.0
375,Application,2016-08-18 21:30:00,0.0
376,CPU,2016-08-18 21:30:00,0.604
377,Cluster,2016-08-18 21:30:00,0.05
378,Commit,2016-08-18 21:30:00,0.0
379,Concurrency,2016-08-18 21:30:00,0.0
380,Configuration,2016-08-18 21:30:00,0.0
381,Network,2016-08-18 21:30:00,0.002
382,Other,2016-08-18 21:30:00,0.013
383,System I/O,2016-08-18 21:30:00,0.054
384,User I/O,2016-08-18 21:30:00,0.794
385,Administrative,2016-08-18 21:31:00,0.0
386,Application,2016-08-18 21:31:00,0.0
387,CPU,2016-08-18 21:31:00,0.576
388,Cluster,2016-08-18 21:31:00,0.0
389,Commit,2016-08-18 21:31:00,0.0
390,Concurrency,2016-08-18 21:31:00,0.0
391,Configuration,2016-08-18 21:31:00,0.0
392,Network,2016-08-18 21:31:00,0.002
393,Other,2016-08-18 21:31:00,0.029
394,System I/O,2016-08-18 21:31:00,0.002
395,User I/O,2016-08-18 21:31:00,0.453
396,Administrative,2016-08-18 21:32:00,0.0
397,Application,2016-08-18 21:32:00,0.0
398,CPU,2016-08-18 21:32:00,0.546
399,Cluster,2016-08-18 21:32:00,0.0
400,Commit,2016-08-18 21:32:00,0.0
401,Concurrency,2016-08-18 21:32:00,0.0
402,Configuration,2016-08-18 21:32:00,0.0
403,Network,2016-08-18 21:32:00,0.002
404,Other,2016-08-18 21:32:00,0.014
405,System I/O,2016-08-18 21:32:00,0.002
406,User I/O,2016-08-18 21:32:00,0.491
407,Administrative,2016-08-18 21:33:00,0.0
408,Application,2016-08-18 21:33:00,0.0
409,CPU,2016-08-18 21:33:00,0.576
410,Cluster,2016-08-18 21:33:00,0.001
411,Commit,2016-08-18 21:33:00,0.0
412,Concurrency,2016-08-18 21:33:00,0.0
413,Configuration,2016-08-18 21:33:00,0.0
414,Network,2016-08-18 21:33:00,0.002
415,Other,2016-08-18 21:33:00,0.02
416,System I/O,2016-08-18 21:33:00,0.002
417,User I/O,2016-08-18 21:33:00,0.464
418,Administrative,2016-08-18 21:34:00,0.0
419,Application,2016-08-18 21:34:00,0.0
420,CPU,2016-08-18 21:34:00,0.38
421,Cluster,2016-08-18 21:34:00,0.0
422,Commit,2016-08-18 21:34:00,0.0
423,Concurrency,2016-08-18 21:34:00,0.0
424,Configuration,2016-08-18 21:34:00,0.0
425,Network,2016-08-18 21:34:00,0.002
426,Other,2016-08-18 21:34:00,0.013
427,System I/O,2016-08-18 21:34:00,0.002
428,User I/O,2016-08-18 21:34:00,0.249
429,Administrative,2016-08-18 21:35:00,0.0
430,Application,2016-08-18 21:35:00,0.0
431,CPU,2016-08-18 21:35:00,0.008
432,Cluster,2016-08-18 21:35:00,0.0
433,Commit,2016-08-18 21:35:00,0.0
434,Concurrency,2016-08-18 21:35:00,0.0
435,Configuration,2016-08-18 21:35:00,0.0
436,Network,2016-08-18 21:35:00,0.002
437,Other,2016-08-18 21:35:00,0.016
438,System I/O,2016-08-18 21:35:00,0.002
439,User I/O,2016-08-18 21:35:00,0.0
440,Administrative,2016-08-18 21:36:00,0.0
441,Application,2016-08-18 21:36:00,0.0
442,CPU,2016-08-18 21:36:00,0.017
